1234567890123,JANE GOT MONEY DOE,,,,,
13 Oct 2020,13 Oct 2020,"SIG POS TRANS 3593 VILLAGE PANTRY PEMBROKE BM",115.20,,12006.68,200POSS20287B2PJ
13 Oct 2020,13 Oct 2020,"FCPT 7184 TEACHERSPAYTEACHERS.CO 6465880910 US",0.53,,12121.88,200POSS20287A7LL
13 Oct 2020,13 Oct 2020,"SIG POS TRANS 7184 TEACHERSPAYTEACHERS.CO 6465880910 US",42.32,,12122.41,200POSS20287A7LL
13 Oct 2020,13 Oct 2020,"SIG POS TRANS 7184 GORHAM'S LTD (DATACAP) PEMBROKE BM",83.14,,12164.73,200POSS20287A7LK
13 Oct 2020,13 Oct 2020,"SIG POS TRANS 7184 THE HAMILTON PASTRY SH SANDYS BM",19.95,,12247.87,200POSS20287A7LJ
13 Oct 2020,13 Oct 2020,"DOM TFR FEE",0.50,,12267.82,2002PC1202862816
13 Oct 2020,13 Oct 2020,"DOM TFR DEBIT : HSBC BANK OF BERMUDA-ANYELA DE OUTERBRIDGE",300.00,,12268.32,2002PC1202862816
12 Oct 2020,12 Oct 2020,"SIG POS TRANS 3593 BURROWS LIGHTBOURN-DIS HAMILTON BM",59.98,,12568.32,200POSS20286A1S2
12 Oct 2020,12 Oct 2020,"SIG POS TRANS 3593 ONE COMMUNICATIONS 000-000-0000 BM",149.55,,12628.30,200POSS20286A1S1
12 Oct 2020,12 Oct 2020,"SIG POS TRANS 3593 ONE COMMUNICATIONS 000-000-0000 BM",95.00,,12777.85,200POSS20286A1S0
09 Oct 2020,09 Oct 2020,"SIG POS TRANS 7184 LINDO'S MARKET LIMITED DEVONSHIRE BM",282.59,,12872.85,200POSS202831446
09 Oct 2020,09 Oct 2020,"SIG POS TRANS 7184 SARGASSO SEA LTD. 000-000-0000 BM",24.85,,13155.44,200POSS202831445
08 Oct 2020,08 Oct 2020,"SIG POS TRANS 3593 SARGASSO SEA LTD. 000-000-0000 BM",30.00,,13180.29,200POSS202828425
06 Oct 2020,06 Oct 2020,"FCPT 3593 DIGICEL DING*56776372 18763807626 IE",0.45,,13210.29,200POSS20280B6FM
06 Oct 2020,06 Oct 2020,"SIG POS TRANS 3593 DIGICEL DING*56776372 18763807626 IE",36.11,,13210.74,200POSS20280B6FM
06 Oct 2020,06 Oct 2020,"SIG POS TRANS 3593 DEVIL'S ISLE PEMBROKE BM",67.91,,13246.85,200POSS20280B30W
06 Oct 2020,06 Oct 2020,"SIG POS TRANS 3593 PRICERITE 2 WARWICK BM",159.40,,13314.76,200POSS20280B2XF
06 Oct 2020,06 Oct 2020,"SIG POS TRANS 3593 PORTOFINO RESTAURANT HAMILTON BM",7.50,,13474.16,200POSS20280B2XE
06 Oct 2020,06 Oct 2020,"SIG POS TRANS 7184 PORTOFINO RESTAURANT HAMILTON BM",65.85,,13481.66,200POSS20280B0O2
05 Oct 2020,05 Oct 2020,"ELECT PYMNT DUPREE G G EDI11640949",,6372.13,13547.51,200EDIC202792427
05 Oct 2020,05 Oct 2020,"SIG POS TRANS 3593 JL SERVICE STATION HAMILTON PARI BM",10.00,,7175.38,200POSS20279C3HB
05 Oct 2020,05 Oct 2020,"FCPT 7184 DIGICEL DING*56702826 18763807626 IE",0.58,,7185.38,200POSS20279C2WW
05 Oct 2020,05 Oct 2020,"SIG POS TRANS 7184 DIGICEL DING*56702826 18763807626 IE",46.44,,7185.96,200POSS20279C2WW
05 Oct 2020,05 Oct 2020,"SIG POS TRANS 7184 BOUQUET GARNI FLATTS BM",108.75,,7232.40,200POSS20279B78K
05 Oct 2020,05 Oct 2020,"TRANSFER FEE ",0.50,,7341.15,2002F12202791656
05 Oct 2020,05 Oct 2020,"TO: Bermuda Engineering Company Limited-M Fubler Deposit",200.00,,7341.65,2002F12202791656
05 Oct 2020,05 Oct 2020,"DOM TFR FEE",0.50,,7541.65,2002PC1202791150
05 Oct 2020,05 Oct 2020,"DOM TFR DEBIT : HSBC BANK OF BERMUDA-Piper Gardens",400.00,,7542.15,2002PC1202791150
05 Oct 2020,05 Oct 2020,"TO: QUEENIE GAY-Car Payment Number 39",500.00,,7942.15,2002F11202790114
05 Oct 2020,05 Oct 2020,"TRANSFER FEE ",0.50,,8442.15,2002F12202790124
05 Oct 2020,05 Oct 2020,"TO: Sea Venture Overseas Shipping-Ref 432171  Invoice 157260",75.00,,8442.65,2002F12202790124
05 Oct 2020,05 Oct 2020,"SIG POS TRANS 7184 BLUKIDS HAMILTON BM",95.00,,8517.65,200POSS202791378
05 Oct 2020,05 Oct 2020,"SIG POS TRANS 7184 SIENA SOLUTIONS LIMITE HAMILTON BM",13.00,,8612.65,200POSS202791377
05 Oct 2020,05 Oct 2020,"SIG POS TRANS 7184 SPA OASIS PEMBROKE BM",70.00,,8625.65,200POSS202791376
02 Oct 2020,02 Oct 2020,"SIG POS TRANS 3593 VILLAGE PANTRY PEMBROKE BM",110.09,,8695.65,200POSS202767188
